predictor,phi_left,phi_right,unsafe,conservative
CEBH,0.275,0.27749999999999997,0.1267605633802817,0.0
CEBH,0.27749999999999997,0.2825,0.15492957746478872,0.0
CEBH,0.2825,0.28500000000000003,0.19718309859154928,0.0
CEBH,0.28500000000000003,0.29000000000000004,0.22535211267605634,0.0
CEBH,0.29000000000000004,0.2925,0.2535211267605634,0.0
CEBH,0.2925,0.29500000000000004,0.28169014084507044,0.0
CEBH,0.29500000000000004,0.2975,0.323943661971831,0.0
CEBH,0.2975,0.29999999999999993,0.352112676056338,0.0
CEBH,0.29999999999999993,0.3025,0.38028169014084506,0.0
CEBH,0.3025,0.30499999999999994,0.4225352112676056,0.0
CEBH,0.30499999999999994,0.3125,0.43661971830985913,0.0
CEBH,0.3125,0.31499999999999995,0.4507042253521127,0.0
CEBH,0.31499999999999995,0.3175,0.4647887323943662,0.0
CEBH,0.3175,0.32499999999999996,0.49295774647887325,0.0
CEBH,0.32499999999999996,0.3275,0.5633802816901409,0.0
CEBH,0.3275,0.32999999999999996,0.5915492957746479,0.0
CEBH,0.32999999999999996,0.33499999999999996,0.6056338028169014,0.0
CEBH,0.33499999999999996,0.3375,0.6197183098591549,0.0
CEBH,0.3375,0.33999999999999997,0.6338028169014085,0.0
CEBH,0.33999999999999997,0.3425,0.647887323943662,0.0
CEBH,0.3425,0.345,0.676056338028169,0.0
CEBH,0.345,0.34750000000000003,0.6901408450704225,0.0
CEBH,0.34750000000000003,0.35,0.7183098591549296,0.0
CEBH,0.35,0.35250000000000004,0.7323943661971831,0.0
CEBH,0.35250000000000004,0.355,0.7605633802816901,0.0
CEBH,0.355,0.35750000000000004,0.7746478873239436,0.0
CEBH,0.35750000000000004,0.365,0.7887323943661971,0.0
CEBH,0.365,0.37249999999999994,0.8028169014084507,0.0
CEBH,0.37249999999999994,0.375,0.8169014084507042,0.0
CEBH,0.375,0.37749999999999995,0.8309859154929577,0.0
CEBH,0.37749999999999995,0.38,0.8450704225352113,0.0
CEBH,0.38,0.38249999999999995,0.8591549295774648,0.0
CEBH,0.38249999999999995,0.385,0.8732394366197183,0.0
CEBH,0.385,0.39,0.8873239436619719,0.0
CEBH,0.39,0.395,0.9014084507042254,0.0
CEBH,0.395,0.39749999999999996,0.9154929577464789,0.0
CEBH,0.39749999999999996,0.4,0.9295774647887324,0.0
CEBH,0.4,0.41000000000000003,0.9436619718309859,0.0
CEBH,0.41000000000000003,0.41500000000000004,0.9577464788732394,0.0
CEBH,0.41500000000000004,0.42000000000000004,0.971830985915493,0.0
CEBH,0.42000000000000004,0.42554786060261196,0.9859154929577465,0.0
CEBH,0.42554786060261196,0.4310948175304117,0.971830985915493,0.0
CEBH,0.4310948175304117,0.44499999999999995,0.9577464788732394,0.0
CEBH,0.44499999999999995,0.4566907863000482,0.971830985915493,0.0
CEBH,0.4566907863000482,0.4800152834075354,0.9577464788732394,0.0
CEBH,0.4800152834075354,0.487674278422746,0.9436619718309859,0.0
CEBH,0.487674278422746,0.4904347744059466,0.9295774647887324,0.0
CEBH,0.4904347744059466,0.4924011640769924,0.9154929577464789,0.0
CEBH,0.4924011640769924,0.49341447587646226,0.9014084507042254,0.0
CEBH,0.49341447587646226,0.49405028531365014,0.8873239436619719,0.0
CEBH,0.49405028531365014,0.4955494075900643,0.8732394366197183,0.0
